id,create_time,update_time,total_amount,administrative_region_id,insurance_agent_id,policyholder_id,renew_from_id,vehicle_id,amount_type
1,2023-01-10 00:01:00,2023-01-10 00:01:00,3716.09,363,217,1,,1,数据过高
2,2023-01-10 00:02:00,2023-01-10 00:02:00,3639.86,319,982,2,,2,数据过高
3,2023-01-10 00:03:00,2023-01-10 00:03:00,4985.09,314,458,3,,3,数据过高
4,2023-01-10 00:04:00,2023-01-10 00:04:00,3244.68,194,338,4,,4,数据正常
5,2023-01-10 00:05:00,2023-01-10 00:05:00,3620.8,158,844,5,,5,数据过高
6,2023-01-10 00:06:00,2023-01-10 00:06:00,5639.02,56,404,6,,6,数据过高
7,2023-01-10 00:08:00,2023-01-10 00:08:00,8715.0,287,596,7,,7,数据过高
8,2023-01-10 00:10:00,2023-01-10 00:10:00,6710.52,78,886,8,,8,数据过高
9,2023-01-10 00:11:00,2023-01-10 00:11:00,4083.56,242,629,9,,9,数据过高
10,2023-01-10 00:12:00,2023-01-10 00:12:00,5801.4,121,38,10,,10,数据过高
11,2023-01-10 00:13:00,2023-01-10 00:13:00,5103.36,345,378,11,,11,数据过高
12,2023-01-10 00:16:00,2023-01-10 00:16:00,5201.0,179,675,12,,12,数据过高
13,2023-01-10 00:17:00,2023-01-10 00:17:00,4153.04,270,237,13,,13,数据过高
14,2023-01-10 00:18:00,2023-01-10 00:18:00,8081.4,314,273,14,,14,数据过高
15,2023-01-10 00:19:00,2023-01-10 00:19:00,5954.0,272,42,15,,15,数据过高
16,2023-01-10 00:20:00,2023-01-10 00:20:00,5150.8,365,280,16,,16,数据过高
17,2023-01-10 00:24:00,2023-01-10 00:24:00,4387.2,85,225,17,,17,数据过高
18,2023-01-10 00:25:00,2023-01-10 00:25:00,3647.0,364,680,18,,18,数据过高
19,2023-01-10 00:26:00,2023-01-10 00:26:00,4454.0,6,159,19,,19,数据过高
20,2023-01-10 00:27:00,2023-01-10 00:27:00,4568.0,270,520,20,,20,数据过高
21,2023-01-10 00:30:00,2023-01-10 00:30:00,4233.0,381,377,21,,21,数据过高
22,2023-01-10 00:31:00,2023-01-10 00:31:00,4179.0,302,523,22,,22,数据过高
23,2023-01-10 00:33:00,2023-01-10 00:33:00,4424.0,280,383,23,,23,数据过高
24,2023-01-10 00:35:00,2023-01-10 00:35:00,4024.0,274,117,24,,24,数据过高
25,2023-01-10 00:39:00,2023-01-10 00:39:00,9297.0,312,729,25,,25,数据过高
26,2023-01-10 00:42:00,2023-01-10 00:42:00,4092.52,370,649,26,,26,数据过高
27,2023-01-10 00:43:00,2023-01-10 00:43:00,5510.48,288,817,27,,27,数据过高
28,2023-01-10 00:44:00,2023-01-10 00:44:00,3600.8,352,322,28,,28,数据过高
29,2023-01-10 00:45:00,2023-01-10 00:45:00,4286.8,130,781,29,,29,数据过高
30,2023-01-10 00:47:00,2023-01-10 00:47:00,4513.0,20,410,30,,30,数据过高
31,2023-01-10 00:48:00,2023-01-10 00:48:00,3666.6,140,173,31,,31,数据过高
32,2023-01-10 00:49:00,2023-01-10 00:49:00,4277.0,69,730,32,,32,数据过高
33,2023-01-10 00:52:00,2023-01-10 00:52:00,3380.03,302,451,33,,33,数据过高
34,2023-01-10 00:53:00,2023-01-10 00:53:00,3573.36,320,531,34,,34,数据过高
35,2023-01-10 00:54:00,2023-01-10 00:54:00,4337.0,16,726,35,,35,数据过高
36,2023-01-10 00:55:00,2023-01-10 00:55:00,3788.0,71,126,36,,36,数据过高
